WEEKS,#TOTALFAILURES-INST,#TOTALFAILURES-CUMU,P(TOTAL-FAILURE)-INST,P(TOTAL-FAILURE)-CUMU,#UNCORRECTABLE-FAILURES-INST,#UNCORRECTABLE-FAILURES-CUMU,P(UNCORRECTABLE-FAILURE)-INST,P(UNCORRECTABLE-FAILURE)-CUMU,#UNDETECTABLE-FAILURES-INST,#UNDETECTABLE-FAILURES-CUMU,P(UNDETECTABLE-FAILURE)-INST,P(UNDETECTABLE-FAILURE)-CUMU
0,11,11,0.001100,0.001100,11,11,0.001100,0.001100,0,0,0.000000,0.000000
12,9,20,0.000900,0.002000,9,20,0.000900,0.002000,0,0,0.000000,0.000000
24,12,32,0.001200,0.003200,12,32,0.001200,0.003200,0,0,0.000000,0.000000
36,12,44,0.001200,0.004400,12,44,0.001200,0.004400,0,0,0.000000,0.000000
48,15,59,0.001500,0.005900,15,59,0.001500,0.005900,0,0,0.000000,0.000000
60,13,72,0.001300,0.007200,13,72,0.001300,0.007200,0,0,0.000000,0.000000
72,12,84,0.001200,0.008400,12,84,0.001200,0.008400,0,0,0.000000,0.000000
84,13,97,0.001300,0.009700,13,97,0.001300,0.009700,0,0,0.000000,0.000000
96,11,108,0.001100,0.010800,11,108,0.001100,0.010800,0,0,0.000000,0.000000
108,11,119,0.001100,0.011900,11,119,0.001100,0.011900,0,0,0.000000,0.000000
120,14,133,0.001400,0.013300,14,133,0.001400,0.013300,0,0,0.000000,0.000000
132,13,146,0.001300,0.014600,13,146,0.001300,0.014600,0,0,0.000000,0.000000
144,6,152,0.000600,0.015200,6,152,0.000600,0.015200,0,0,0.000000,0.000000
156,15,167,0.001500,0.016700,15,167,0.001500,0.016700,0,0,0.000000,0.000000
168,12,179,0.001200,0.017900,12,179,0.001200,0.017900,0,0,0.000000,0.000000
180,11,190,0.001100,0.019000,11,190,0.001100,0.019000,0,0,0.000000,0.000000
192,13,203,0.001300,0.020300,13,203,0.001300,0.020300,0,0,0.000000,0.000000
204,14,217,0.001400,0.021700,14,217,0.001400,0.021700,0,0,0.000000,0.000000
216,12,229,0.001200,0.022900,12,229,0.001200,0.022900,0,0,0.000000,0.000000
228,12,241,0.001200,0.024100,12,241,0.001200,0.024100,0,0,0.000000,0.000000
240,11,252,0.001100,0.025200,11,252,0.001100,0.025200,0,0,0.000000,0.000000
252,17,269,0.001700,0.026900,17,269,0.001700,0.026900,0,0,0.000000,0.000000
264,17,286,0.001700,0.028600,17,286,0.001700,0.028600,0,0,0.000000,0.000000
276,14,300,0.001400,0.030000,14,300,0.001400,0.030000,0,0,0.000000,0.000000
288,11,311,0.001100,0.031100,11,311,0.001100,0.031100,0,0,0.000000,0.000000
300,9,320,0.000900,0.032000,9,320,0.000900,0.032000,0,0,0.000000,0.000000
312,15,335,0.001500,0.033500,15,335,0.001500,0.033500,0,0,0.000000,0.000000
324,13,348,0.001300,0.034800,13,348,0.001300,0.034800,0,0,0.000000,0.000000
336,10,358,0.001000,0.035800,10,358,0.001000,0.035800,0,0,0.000000,0.000000
348,12,370,0.001200,0.037000,12,370,0.001200,0.037000,0,0,0.000000,0.000000
